,title,subtitle,link
37,THAT'S INTERTAINMENT, Fans spot Inter Milan's never-before-seen tactic in Champions League,https://www.thesun.co.uk/sport/26104229/inter-milan-tactics-atletico-madrid-midfield-defence-switch/
38,DEALBREAKER, Alexander-Arnold warned NOT to sign new Liverpool contract by former star,https://www.thesun.co.uk/sport/26086971/alexander-arnold-warned-new-liverpool-contract-david-james/
39,LUKE OUT, Fears Shaw could miss rest of Man Utd season and Euro 2024 as old injury returns,https://www.thesun.co.uk/sport/26090913/man-utd-luke-shaw-injury-euro-2024/
40,PORT OF CALL," Incredible story behind Porto creating a £300,000 trophy in Arsenal’s honour",https://www.thesun.co.uk/sport/26097033/arsenal-porto-champions-league-trophy/
41,KANE DERAILED," Secret £7,200 Harry Kane statue hidden for years after 'joke' TFL decision",https://www.thesun.co.uk/sport/26094507/harry-kane-statue-bayern-munich-tfl/
42,, Join Sun Vegas and get a £30 bonus & 50 The Sun Live Roulette Table golden chips,https://www.thesun.co.uk/sun-bingo/25321231/welcome-offer-sun-live-roulette-table-bonus/
43,, Highest payout online casinos AND the fastest paying sites in UK revealed,https://www.thesun.co.uk/betting/22917511/highest-payout-casinos-uk/
44,, All the best Pay by Mobile casinos revealed - and how to make the most of them,https://www.thesun.co.uk/betting/21296516/pay-by-mobile-casino-uk/
45,GROUNDS FOR IMPROVEMENT, Prem side share incredible new video of £500m new stadium progress,https://www.thesun.co.uk/sport/26097498/everton-new-stadium-bramley-moore-dock/
46,, Spurs 'absolutely convinced about signing Gallagher' as Chelsea stance revealed,https://www.thesun.co.uk/sport/26089170/tottenham-chelsea-conor-gallagher-transfer/
47,, Southampton plot £15m Clarke transfer as ex-Spurs ace targets Prem return,https://www.thesun.co.uk/sport/26015200/southampton-jack-clarke-transfer-tottenham-sunderland/
48,, Barcelona 'line up £43m deal for Championship ace' who 'only scores great goals',https://www.thesun.co.uk/sport/26067785/barcelona-transfer-championship-watford-yaser-asprilla/
